activity,activities_code,states,activities_name
surfing,redw,ca,redwood national and state parks
swimming,acad,me,acadia national park
swimming,alka,hi,ala kahakai national historic trail
swimming,amis,tx,amistad national recreation area
swimming,amme,mp,american memorial park
swimming,apis,wi,apostle islands national lakeshore
swimming,asis,"md,va",assateague island national seashore
swimming,bica,"mt,wy",bighorn canyon national recreation area
swimming,bisc,fl,biscayne national park
swimming,biso,"ky,tn",big south fork national river and recreation area
swimming,buff,ar,buffalo national river
swimming,buis,vi,buck island reef national monument
swimming,caco,ma,cape cod national seashore
swimming,caha,nc,cape hatteras national seashore
swimming,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
swimming,calo,nc,cape lookout national seashore
swimming,cana,fl,canaveral national seashore
swimming,chat,ga,chattahoochee river national recreation area
swimming,chic,ok,chickasaw national recreation area
swimming,chis,ca,channel islands national park
swimming,crla,or,crater lake national park
swimming,cuis,ga,cumberland island national seashore
swimming,cure,co,curecanti national recreation area
swimming,dewa,"nj,pa",delaware water gap national recreation area
swimming,drto,fl,dry tortugas national park
swimming,fiis,ny,fire island national seashore
swimming,gate,"ny,nj",gateway national recreation area
swimming,glac,mt,glacier national park
swimming,glca,"az,ut",glen canyon national recreation area
swimming,grsa,co,great sand dunes national park and preserve
swimming,guis,"fl,ms",gulf islands national seashore
swimming,hale,hi,haleakala national park
swimming,indu,in,indiana dunes national park
swimming,lake,"az,nv",lake mead national recreation area
swimming,laro,wa,lake roosevelt national recreation area
swimming,lavo,ca,lassen volcanic national park
swimming,liri,al,little river canyon national preserve
swimming,mnrr,"sd,ne",missouri national recreational river
swimming,npnh,ny,national parks of new york harbor
swimming,npsa,as,national park of american samoa
swimming,olym,wa,olympic national park
swimming,orca,or,oregon caves national monument and preserve
swimming,ozar,mo,ozark national scenic riverways
swimming,pais,tx,padre island national seashore
swimming,piro,mi,pictured rocks national lakeshore
swimming,redw,ca,redwood national and state parks
swimming,sajh,wa,san juan island national historical park
swimming,sari,vi,salt river bay national historical park and ecological preserve
swimming,slbe,mi,sleeping bear dunes national lakeshore
swimming,timu,fl,timucuan ecological and historic preserve
swimming,vicr,vi,virgin islands coral reef national monument
swimming,viis,vi,virgin islands national park
swimming,voya,mn,voyageurs national park
swimming,whis,ca,whiskeytown national recreation area
swimming,yell,"id,mt,wy",yellowstone national park
swimming,yose,ca,yosemite national park
team sports,anac,dc,anacostia park
team sports,rira,mi,river raisin national battlefield park
tubing,biso,"ky,tn",big south fork national river and recreation area
tubing,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
tubing,chat,ga,chattahoochee river national recreation area
tubing,greg,nj,great egg harbor river
tubing,grsa,co,great sand dunes national park and preserve
tubing,niob,ne,niobrara national scenic river
tubing,olym,wa,olympic national park
tubing,ozar,mo,ozark national scenic riverways
tubing,sacn,"wi,mn",saint croix national scenic riverway
tubing,sara,ny,saratoga national historical park
tubing,slbe,mi,sleeping bear dunes national lakeshore
tubing,upde,"ny,pa",upper delaware scenic and recreational river
tubing,voya,mn,voyageurs national park
tubing,yose,ca,yosemite national park
water skiing,amis,tx,amistad national recreation area
water skiing,chic,ok,chickasaw national recreation area
water skiing,cure,co,curecanti national recreation area
water skiing,grsa,co,great sand dunes national park and preserve
water skiing,grte,wy,grand teton national park
water skiing,lake,"az,nv",lake mead national recreation area
water skiing,voya,mn,voyageurs national park
water skiing,whis,ca,whiskeytown national recreation area
wildlife watching,abli,ky,abraham lincoln birthplace national historical park
wildlife watching,acad,me,acadia national park
wildlife watching,agfo,ne,agate fossil beds national monument
wildlife watching,alag,ak,alagnak wild river
wildlife watching,alca,ca,alcatraz island
wildlife watching,aleu,ak,aleutian islands world war ii national historic area
wildlife watching,alka,hi,ala kahakai national historic trail
wildlife watching,amis,tx,amistad national recreation area
wildlife watching,amme,mp,american memorial park
wildlife watching,anac,dc,anacostia park
wildlife watching,ania,ak,aniakchak national monument and preserve
wildlife watching,anti,md,antietam national battlefield
wildlife watching,apco,va,appomattox court house national historical park
wildlife watching,apis,wi,apostle islands national lakeshore
wildlife watching,appa,"ct,ga,ma,md,me,nc,nh,nj,ny,pa,tn,va,vt,wv",appalachian national scenic trail
wildlife watching,arpo,ar,arkansas post national memorial
wildlife watching,asis,"md,va",assateague island national seashore
wildlife watching,badl,sd,badlands national park
wildlife watching,band,nm,bandelier national monument
wildlife watching,bela,ak,bering land bridge national preserve
wildlife watching,beol,co,bent's old fort national historic site
wildlife watching,bibe,tx,big bend national park
wildlife watching,bica,"mt,wy",bighorn canyon national recreation area
wildlife watching,bicy,fl,big cypress national preserve
wildlife watching,biho,mt,big hole national battlefield
wildlife watching,bisc,fl,biscayne national park
wildlife watching,biso,"ky,tn",big south fork national river and recreation area
wildlife watching,bith,tx,big thicket national preserve
wildlife watching,blca,co,black canyon of the gunnison national park
wildlife watching,blri,"nc,va",blue ridge parkway
wildlife watching,blrv,"ri,ma",blackstone river valley national historical park
wildlife watching,blue,wv,bluestone national scenic river
wildlife watching,boha,ma,boston harbor islands national recreation area
wildlife watching,brca,ut,bryce canyon national park
wildlife watching,buff,ar,buffalo national river
wildlife watching,buis,vi,buck island reef national monument
wildlife watching,cabr,ca,cabrillo national monument
wildlife watching,caco,ma,cape cod national seashore
wildlife watching,caha,nc,cape hatteras national seashore
wildlife watching,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
wildlife watching,cakr,ak,cape krusenstern national monument
wildlife watching,calo,nc,cape lookout national seashore
wildlife watching,cana,fl,canaveral national seashore
wildlife watching,care,ut,capitol reef national park
wildlife watching,cave,nm,carlsbad caverns national park
wildlife watching,cavo,nm,capulin volcano national monument
wildlife watching,cbpo,"dc,de,md,ny,pa,va,wv",chesapeake bay
wildlife watching,cebr,ut,cedar breaks national monument
wildlife watching,cham,tx,chamizal national memorial
wildlife watching,chat,ga,chattahoochee river national recreation area
wildlife watching,chic,ok,chickasaw national recreation area
wildlife watching,chir,az,chiricahua national monument
wildlife watching,chis,ca,channel islands national park
wildlife watching,choh,"dc,md,wv",chesapeake and ohio canal national historical park
wildlife watching,chpi,sc,charles pinckney national historic site
wildlife watching,ciro,id,city of rocks national reserve
wildlife watching,colm,co,colorado national monument
wildlife watching,coro,az,coronado national memorial
wildlife watching,crla,or,crater lake national park
wildlife watching,crmo,id,craters of the moon national monument and preserve
wildlife watching,cuga,"ky,tn,va",cumberland gap national historical park
wildlife watching,cuis,ga,cumberland island national seashore
wildlife watching,cure,co,curecanti national recreation area
wildlife watching,cuva,oh,cuyahoga valley national park
wildlife watching,cwdw,"dc,md,va",civil war defenses of washington
wildlife watching,dena,ak,denali national park and preserve
wildlife watching,depo,ca,devils postpile national monument
wildlife watching,deto,wy,devils tower national monument
wildlife watching,deva,"ca,nv",death valley national park
wildlife watching,dewa,"nj,pa",delaware water gap national recreation area
wildlife watching,dino,"co,ut",dinosaur national monument
wildlife watching,drto,fl,dry tortugas national park
wildlife watching,ebla,wa,ebey's landing national historical reserve
wildlife watching,efmo,ia,effigy mounds national monument
wildlife watching,elma,nm,el malpais national monument
wildlife watching,elmo,nm,el morro national monument
wildlife watching,ever,fl,everglades national park
wildlife watching,fiis,ny,fire island national seashore
wildlife watching,fobo,az,fort bowie national historic site
wildlife watching,fobu,wy,fossil butte national monument
wildlife watching,foda,tx,fort davis national historic site
wildlife watching,fodu,dc,fort dupont park
wildlife watching,fomc,md,fort mchenry national monument and historic shrine
wildlife watching,fomr,va,fort monroe national monument
wildlife watching,fone,pa,fort necessity national battlefield
wildlife watching,fopu,ga,fort pulaski national monument
wildlife watching,fosu,sc,fort sumter and fort moultrie national historical park
wildlife watching,fova,"or,wa",fort vancouver national historic site
wildlife watching,frde,dc,franklin delano roosevelt memorial
wildlife watching,frhi,pa,friendship hill national historic site
wildlife watching,gett,pa,gettysburg national military park
wildlife watching,gewa,va,george washington birthplace national monument
wildlife watching,gicl,nm,gila cliff dwellings national monument
wildlife watching,glba,ak,glacier bay national park and preserve
wildlife watching,goga,ca,golden gate national recreation area
